,old,new
0,,0.0
1,ADJ,pct
2,"""H20",0.0
3,MINUTE,0.0
4,PCT OP,0.0
5,KBTUHR,0.0
6,KLBHR,0.0
7,in WC,0.0
8,%OPN,0.0
9,PCTOPN,0.0
10,COUNTER,0.0
11,KWH/MI,0.0
12,K#/Hr,0.0
13,PCTFLA,0.0
14,Deg. F,0.0
15,AUG KW,0.0
16,kw,0.0
17,LBPH,0.0
18,SEC,0.0
19,hrs,0.0
20,KWH/WE,0.0
21,VU,0.0
22,DEG_MI,0.0
23,COEFF,0.0
24,Pumps,0.0
25,LBPD,0.0
26,Cnt,0.0
27,deg C,0.0
28,ppm,0.0
29,D GAIN,0.0
30,VA,0.0
31,gals,0.0
32,%%DF,0.0
33,DEG,0.0
34,INWC,0.0
35,SUM VA,0.0
36,0CL1HT,0.0
37,PSI NO,0.0
38,kVA,0.0
39,psid,0.0
40,cfm,0.0
41,PASS,0.0
42,PSI/M,0.0
43,IN H2O,0.0
44,PPT,0.0
45,CFH,0.0
46,TEMP,0.0
47,Psi,0.0
48,NUMBER,0.0
49,MCF/HR,0.0
50,MMCF,0.0
51,WATT H,0.0
52,A,0.0
53,DE F,0.0
54,Tdf,0.0
55,IN wc,0.0
56,KWh,0.0
57,Chlr,0.0
58,MW,0.0
59,SENCDS,0.0
60,BTUS,0.0
61,DEG-F,0.0
62,LITERS,0.0
63,%COOL,0.0
64,KLBS H,0.0
65,% rh,0.0
66,count,0.0
67,PSIG,0.0
68,DEG. F,0.0
69,in h2o,0.0
70,deg.f,0.0
71,Gallon,0.0
72,PCNT,0.0
73,Inches,0.0
74,NOV KW,0.0
75,CHLS,0.0
76,pct,0.0
77,SQFT,0.0
78,BIAS,0.0
79,IN-H20,0.0
80,VFDSP,0.0
81,%FILL,0.0
82,VP,0.0
83,IN W.C,0.0
84,CHLR,0.0
85,Deg F,0.0
86,inches,0.0
87,CYCLES,0.0
88,HR,0.0
89,MINS,0.0
90,% CLOS,0.0
91, ,0.0
92,SEP KW,0.0
93,SCFM,0.0
94,H,0.0
95,PPM,0.0
96,INCH,0.0
97,lbs,0.0
98,GALS,0.0
99,VALVES,0.0
100,BTU/lb,0.0
101,%OPEN,0.0
102,Btu/hr,0.0
103,kVAr,0.0
104,lb/hr,0.0
105,out/in,0.0
106,MBTU,0.0
107,Lbs/Hr,0.0
108,$,0.0
109,ton-h,0.0
110,ACH,0.0
111,∞F,0.0
112,∞f,0.0
113,SURGE,0.0
114,HOUR,0.0
115,Stages,0.0
116,IN,0.0
117,MEG OH,0.0
118,FPM,0.0
119,DBSWIT,0.0
120,LBS\HR,0.0
121,VIRT,0.0
122,STPT,0.0
123,kW h,0.0
124,In WC,0.0
125,SEQ,0.0
126,KWH/DA,0.0
127,Hz,0.0
128,mins,0.0
129,TIME,0.0
130,/h,0.0
131,% RH,0.0
132,PUMPS,0.0
133,LOCK OUT,0.0
134,degF,0.0
135,CUFT,0.0
136,Fans,0.0
137,KWH/MO,0.0
138,deg F,0.0
139,TON,0.0
140,DEG.F,0.0
141,800,0.0
142,"""wc",0.0
143,KHW,0.0
144,UNIT,0.0
145,FLOW,0.0
146,%Under,0.0
147,RESET,0.0
148,Min,0.0
149,KWH/YE,0.0
150,PG,0.0
151,CRTIME,0.0
152,PCT CL,0.0
153,APR KW,0.0
154,lbs/h,0.0
155,KWH/M,0.0
156,DEC KW,0.0
157,% HEAT,0.0
158,SECNDS,0.0
159,DEG C,0.0
160,KBTUCF,0.0
161,IP3,0.0
162,DEGF,0.0
163,16,0.0
164,BTU/LB,0.0
165,KWH/D,0.0
166,LOOPOU,0.0
167,SCF HR,0.0
168,%LOOPO,0.0
169,Fan,0.0
170,ERR,0.0
