index,old,new
0,,0
1,ADJ,pct
2,"""H20",in H2O
3,MINUTE,min
4,PCT OP,PCT
5,KBTUHR,kBTUh
6,KLBHR,lbs/h
7,in WC,in H2O
8,%OPN,PCT
9,PCTOPN,PCT
10,COUNTER,count
11,KWH/MI,kW
12,K#/Hr,kWh
13,PCTFLA,PCT
14,Deg. F,DEG F
15,AUG KW,kW
16,kw,kW
17,LBPH,lbs/h
18,SEC,secs
19,hrs,hrs
20,KWH/WE,kW
21,VU,V
22,DEG_MI,DEG F
23,COEFF,0
24,Pumps,0
25,LBPD,lbs/h
26,Cnt,0
27,deg C,DEG F
28,ppm,ppm
29,D GAIN,PCT
30,VA,VA
31,gals,gal
32,%%DF,PCT
33,DEG,DEG F
34,INWC,in H2O
35,SUM VA,VA
36,0CL1HT,0
37,PSI NO,psi
38,kVA,kVA
39,psid,psi
40,cfm,ft3/m
41,PASS,0
42,PSI/M,psi
43,IN H2O,in H2O
44,PPT,ppt
45,CFH,ft3/hr
46,TEMP,DEG F
47,Psi,psi
48,NUMBER,0
49,MCF/HR,0
50,MMCF,ft3/hr
51,WATT H,hWh
52,A,A
53,DE F,DEG F
54,Tdf,0
55,IN wc,in H2O
56,KWh,kWh
57,Chlr,0
58,MW,kW
59,SENCDS,secs
60,BTUS,BTU
61,DEG-F,DEG F
62,LITERS,ft3
63,%COOL,PCT
64,KLBS H,lbs/h
65,% rh,PCT
66,count,0
67,PSIG,psi
68,DEG. F,DEG F
69,in h2o,in H2O
70,deg.f,DEG F
71,Gallon,gal
72,PCNT,PCT
73,Inches,in H2O
74,NOV KW,kW
75,CHLS,0
76,pct,PCT
77,SQFT,ft2
78,BIAS,0
79,IN-H20,in H2O
80,VFDSP,PCT
81,%FILL,PCT
82,VP,in H2O
83,IN W.C,in H2O
84,CHLR,0
85,Deg F,DEG F
86,inches,in H2O
87,CYCLES,0
88,HR,hrs
89,MINS,mins
90,% CLOS,PCT
91, ,0
92,SEP KW,kW
93,SCFM,ft3/m
94,H,hrs
95,PPM,ppm
96,INCH,in H2O
97,lbs,lbs/h
98,GALS,gal
99,VALVES,PCT
100,BTU/lb,lbs/h
101,%OPEN,PCT
102,Btu/hr,BTUh
103,kVAr,kV
104,lb/hr,lbs/h
105,out/in,0
106,MBTU,BTU
107,Lbs/Hr,lbs/h
108,$,0
109,ton-h,ton/hr
110,ACH,0
111,∞F,0
112,∞f,0
113,SURGE,0
114,HOUR,hrs
115,Stages,0
116,IN,in H2O
117,MEG OH,0
118,FPM,ft/m
119,DBSWIT,0
120,LBS\HR,lbs/h
121,VIRT,0
122,STPT,PCT
123,kW h,kWh
124,In WC,in H2O
125,SEQ,0
126,KWH/DA,kW
127,Hz,Hz
128,mins,mins
129,TIME,0
130,/h,hrs
131,% RH,PCT
132,PUMPS,0
133,LOCK OUT,0
134,degF,DEG F
135,CUFT,ft3
136,Fans,0
137,KWH/MO,kWh
138,deg F,DEG F
139,TON,0
140,DEG.F,DEG F
141,800,0
142,"""wc",in H2O
143,KHW,kWh
144,UNIT,0
145,FLOW,gpm
146,%Under,PCT
147,RESET,0
148,Min,mins
149,KWH/YE,kW
