,DBPath,Correct Number Clusters
0,D:\Z - Saved SQL Databases\44OP-075294 SAMC New Const Ph 3 4 5\JobDB.mdf,4
1,D:\Z - Saved SQL Databases\44OP-002754 TXSU Flowers\JobDB.mdf,7
2,D:\Z - Saved SQL Databases\44OP-080108_Austin_Treasury\JobDB.mdf,7
3,D:\Z - Saved SQL Databases\44OP-087407_UT_LIBERAL_ARTS\JobDB.mdf,23
4,D:\Z - Saved SQL Databases\44OP-127491_MCC_CSC_BLDG_F\JobDB.mdf,6
5,D:\Z - Saved SQL Databases\44OP-138815_TXSU_CoGen_Plant_BAS_Mods\JobDB.mdf,61
6,D:\Z - Saved SQL Databases\44OP-150580_NEC_Lakeline\JobDB.mdf,6
7,D:\Z - Saved SQL Databases\44OP-123360_S&W_POB\JobDB.mdf,18
8,D:\Z - Saved SQL Databases\44OP-124719_TAMU_Library\JobDB.mdf,40
9,D:\Z - Saved SQL Databases\44OP-150108_TAMUHSC_MRB_MBC_FF\JobDB.mdf,40
10,D:\Z - Saved SQL Databases\44OP-150108_TAMUHSC_MRB_MBC_FF\JobDB.mdf,40
11,D:\Z - Saved SQL Databases\44OP-160910_BU_Tidwell_Basement\JobDB.mdf,9
12,D:\Z - Saved SQL Databases\44OP-093324_Baylor_Bric_Bldg\JobDB.mdf,56
13,D:\Z - Saved SQL Databases\44OP-134749_ACC_JCP_Highland_Mall\JobDB.mdf,17
14,D:\Z - Saved SQL Databases\44OP-159826_BU_Soccer\JobDB.mdf,11
15,D:\Z - Saved SQL Databases\44OP-131383_SDMC_Surgery_Reno_PH2&3\JobDB.mdf,10
16,D:\Z - Saved SQL Databases\44OP-146118_ACC_RR_BLDG_3000_Boiler_Mods\JobDB.mdf,3
17,D:\Z - Saved SQL Databases\44OP-119299_ACC_Hays\JobDB.mdf,85
18,D:\Z - Saved SQL Databases\44OP-155663_Baylor_BRIC_EHS\JobDB.mdf,63
19,D:\Z - Saved SQL Databases\44OP-143320_NAMC_Antepartum\JobDB.mdf,38
20,D:\Z - Saved SQL Databases\44OP-138902_Seton_HL_MRI_Addition\JobDB.mdf,4
21,D:\Z - Saved SQL Databases\44OP-147511_Seton_NW_Chiller_Replacement\JobDB.mdf,19
22,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research old\JobDB.mdf,19
23,D:\Z - Saved SQL Databases\44OP-154285_UT_EERC_MTC\JobDB.mdf,8
24,D:\Z - Saved SQL Databases\44OP-152745_INTEL_AN4_COMPRESSOR\JobDB.mdf,48
25,D:\Z - Saved SQL Databases\44OP-147217_HCA_Cedar_Park_FSED\JobDB.mdf,10
26,D:\Z - Saved SQL Databases\44OP-159849_UT_EERC_old\JobDB.mdf,245
27,D:\Z - Saved SQL Databases\44OP-163025_UT_TEST_BENCH\JobDB.mdf,1
28,D:\Z - Saved SQL Databases\44OP-153537_NAMC_PEDS\JobDB.mdf,1
29,D:\Z - Saved SQL Databases\44OP-130108_UT_Geography_Bldg\JobDB.mdf,21
