,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,optk_X_gap_max,optk_X_gap_Tib,optk_X_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
1,D:\Z - Saved SQL Databases\44OP-160910_BU_Tidwell_Basement\JobDB.mdf,9.0,31.0,4.0,39.0,22.0,4.0,4.0,93.0,72.0,5.0,12.0,4.0,0.0,0.0,0.0
2,D:\Z - Saved SQL Databases\44OP-093324_Baylor_Bric_Bldg\JobDB.mdf,56.0,55.0,3.0,75.0,73.0,3.0,3.0,783.0,0.0,5.0,514.0,264.0,0.0,0.0,0.0
3,D:\Z - Saved SQL Databases\44OP-134749_ACC_JCP_Highland_Mall\JobDB.mdf,17.0,17.0,2.0,27.0,25.0,2.0,2.0,133.0,0.0,0.0,0.0,132.0,1.0,0.0,0.0
4,D:\Z - Saved SQL Databases\44OP-159826_BU_Soccer\JobDB.mdf,11.0,12.0,2.0,12.0,12.0,2.0,4.0,12.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0
5,D:\Z - Saved SQL Databases\44OP-131383_SDMC_Surgery_Reno_PH2&3\JobDB.mdf,10.0,11.0,1.0,17.0,17.0,1.0,5.0,89.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0
6,D:\Z - Saved SQL Databases\44OP-146118_ACC_RR_BLDG_3000_Boiler_Mods\JobDB.mdf,3.0,4.0,2.0,13.0,6.0,2.0,6.0,20.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0
7,D:\Z - Saved SQL Databases\44OP-002754 TXSU Flowers\JobDB.mdf,7.0,18.0,5.0,16.0,19.0,5.0,7.0,144.0,0.0,0.0,4.0,140.0,0.0,0.0,0.0
8,D:\Z - Saved SQL Databases\44OP-119299_ACC_Hays\JobDB.mdf,85.0,62.0,4.0,103.0,104.0,4.0,4.0,649.0,0.0,0.0,2.0,629.0,18.0,0.0,0.0
9,D:\Z - Saved SQL Databases\44OP-155663_Baylor_BRIC_EHS\JobDB.mdf,63.0,78.0,6.0,87.0,89.0,6.0,5.0,768.0,2.0,5.0,489.0,268.0,4.0,0.0,0.0
10,D:\Z - Saved SQL Databases\44OP-143320_NAMC_Antepartum\JobDB.mdf,38.0,42.0,1.0,47.0,32.0,1.0,8.0,475.0,0.0,0.0,475.0,0.0,0.0,0.0,0.0
11,D:\Z - Saved SQL Databases\44OP-138902_Seton_HL_MRI_Addition\JobDB.mdf,4.0,1.0,1.0,8.0,6.0,1.0,1.0,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
12,D:\Z - Saved SQL Databases\44OP-147511_Seton_NW_Chiller_Replacement\JobDB.mdf,19.0,10.0,3.0,29.0,26.0,3.0,4.0,78.0,0.0,2.0,76.0,0.0,0.0,0.0,0.0
13,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research old\JobDB.mdf,19.0,11.0,1.0,27.0,23.0,1.0,8.0,103.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0
