,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,KL,CH,Hartigan,CCC,Scott,Marriot,TrCovW,TraceW,Friedman,Rubin,Cindex,DB,Silhouette,Duda,PseudoT2,Beale,Ratkowsky,Ball,PtBiserial,Frey,McClain,Dunn,Hubert,SDindex,Dindex,SDbw
1,D:\Z - Saved SQL Databases\44OP-160910_BU_Tidwell_Basement\JobDB.mdf,9,93,72,5,12,4,0,0,0,2,2,3,2,3,3,3,3,3,3,16,3,2,2,2,3,3,3,3,1,2,3,0,3,0,17
2,D:\Z - Saved SQL Databases\44OP-093324_Baylor_Bric_Bldg\JobDB.mdf,56,783,0,5,514,264,0,0,0,2,8,7,64,3,7,4,7,6,7,48,36,15,2,2,2,7,3,17,1,2,2,0,6,0,64
3,D:\Z - Saved SQL Databases\44OP-134749_ACC_JCP_Highland_Mall\JobDB.mdf,17,133,0,0,0,132,1,0,0,2,12,12,14,3,4,5,7,12,12,12,16,12,2,2,2,6,3,15,1,2,17,0,13,0,24
4,D:\Z - Saved SQL Databases\44OP-159826_BU_Soccer\JobDB.mdf,11,12,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,D:\Z - Saved SQL Databases\44OP-131383_SDMC_Surgery_Reno_PH2&3\JobDB.mdf,10,89,0,0,0,89,0,0,0,7,2,7,7,14,3,4,5,14,7,6,8,7,2,2,2,5,3,7,2,2,5,0,8,0,18
6,D:\Z - Saved SQL Databases\44OP-146118_ACC_RR_BLDG_3000_Boiler_Mods\JobDB.mdf,3,20,0,0,19,1,0,0,0,3,2,3,2,9,3,3,3,9,3,5,11,11,2,2,2,4,3,6,1,2,11,0,5,0,11
7,D:\Z - Saved SQL Databases\44OP-002754 TXSU Flowers\JobDB.mdf,7,144,0,0,4,140,0,0,0,6,4,4,9,4,3,3,4,4,4,7,8,6,4,4,2,4,3,6,1,2,8,0,6,0,15
8,D:\Z - Saved SQL Databases\44OP-119299_ACC_Hays\JobDB.mdf,85,649,0,0,2,629,18,0,0,2,8,5,15,4,4,5,5,6,5,32,18,15,2,2,2,5,3,21,1,2,2,0,18,0,93
9,D:\Z - Saved SQL Databases\44OP-155663_Baylor_BRIC_EHS\JobDB.mdf,63,768,2,5,489,268,4,0,0,2,8,8,63,3,5,3,8,3,11,48,30,11,2,2,2,6,3,16,1,2,2,0,6,0,71
10,D:\Z - Saved SQL Databases\44OP-143320_NAMC_Antepartum\JobDB.mdf,38,475,0,0,475,0,0,0,0,13,9,9,9,4,4,5,9,7,9,12,9,9,2,2,2,7,3,11,1,2,2,0,9,0,46
11,D:\Z - Saved SQL Databases\44OP-138902_Seton_HL_MRI_Addition\JobDB.mdf,4,41,0,0,41,0,0,0,0,2,2,6,2,3,3,4,3,12,6,3,12,2,2,2,2,2,3,2,2,2,2,0,12,0,12
12,D:\Z - Saved SQL Databases\44OP-147511_Seton_NW_Chiller_Replacement\JobDB.mdf,19,78,0,2,76,0,0,0,0,2,11,8,12,3,3,4,8,12,11,12,16,12,2,2,2,8,3,14,1,2,27,0,15,0,27
13,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research old\JobDB.mdf,19,103,0,0,103,0,0,0,0,2,10,10,12,3,3,4,3,21,12,11,16,12,2,2,2,5,3,12,1,2,24,0,12,0,27
14,D:\Z - Saved SQL Databases\44OP-154285_UT_EERC_MTC\JobDB.mdf,8,76,0,2,72,2,0,0,0,3,3,3,3,3,3,3,3,3,3,5,6,3,2,2,3,3,3,6,1,2,6,0,6,0,16
