,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,optk_TSNE_gap_max,optk_TSNE_gap_Tib,optk_TSNE_gap*_max
1,D:\Z - Saved SQL Databases\44OP-160910_BU_Tidwell_Basement\JobDB.mdf,9,93,72,5,12,4,0,0,0,1,1,18
2,D:\Z - Saved SQL Databases\44OP-093324_Baylor_Bric_Bldg\JobDB.mdf,56,783,0,5,514,264,0,0,0,27,1,65
3,D:\Z - Saved SQL Databases\44OP-134749_ACC_JCP_Highland_Mall\JobDB.mdf,17,133,0,0,0,132,1,0,0,20,1,26
4,D:\Z - Saved SQL Databases\44OP-159826_BU_Soccer\JobDB.mdf,11,12,0,0,3,9,0,0,0,0,0,0
5,D:\Z - Saved SQL Databases\44OP-131383_SDMC_Surgery_Reno_PH2&3\JobDB.mdf,10,89,0,0,0,89,0,0,0,4,1,19
6,D:\Z - Saved SQL Databases\44OP-146118_ACC_RR_BLDG_3000_Boiler_Mods\JobDB.mdf,3,20,0,0,19,1,0,0,0,5,1,12
7,D:\Z - Saved SQL Databases\44OP-002754 TXSU Flowers\JobDB.mdf,7,144,0,0,4,140,0,0,0,1,1,16
8,D:\Z - Saved SQL Databases\44OP-119299_ACC_Hays\JobDB.mdf,85,649,0,0,2,629,18,0,0,61,1,92
9,D:\Z - Saved SQL Databases\44OP-155663_Baylor_BRIC_EHS\JobDB.mdf,63,768,2,5,489,268,4,0,0,51,1,72
10,D:\Z - Saved SQL Databases\44OP-143320_NAMC_Antepartum\JobDB.mdf,38,475,0,0,475,0,0,0,0,9,1,47
11,D:\Z - Saved SQL Databases\44OP-138902_Seton_HL_MRI_Addition\JobDB.mdf,4,41,0,0,41,0,0,0,0,13,1,13
12,D:\Z - Saved SQL Databases\44OP-147511_Seton_NW_Chiller_Replacement\JobDB.mdf,19,78,0,2,76,0,0,0,0,17,1,27
13,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research old\JobDB.mdf,19,103,0,0,103,0,0,0,0,2,1,27
14,D:\Z - Saved SQL Databases\44OP-154285_UT_EERC_MTC\JobDB.mdf,8,76,0,2,72,2,0,0,0,2,1,17
15,D:\Z - Saved SQL Databases\44OP-152745_INTEL_AN4_COMPRESSOR\JobDB.mdf,48,624,1,2,21,466,134,0,0,55,1,55
16,D:\Z - Saved SQL Databases\44OP-147217_HCA_Cedar_Park_FSED\JobDB.mdf,10,18,0,3,15,0,0,0,0,0,0,0
17,D:\Z - Saved SQL Databases\44OP-159849_UT_EERC_old\JobDB.mdf,245,1723,0,20,1188,174,260,81,0,108,1,247
18,D:\Z - Saved SQL Databases\44OP-163025_UT_TEST_BENCH\JobDB.mdf,1,24,24,0,0,0,0,0,0,5,1,10
19,D:\Z - Saved SQL Databases\44OP-153537_NAMC_PEDS\JobDB.mdf,1,40,0,0,40,0,0,0,0,10,1,10
20,D:\Z - Saved SQL Databases\44OP-130108_UT_Geography_Bldg\JobDB.mdf,21,92,0,0,92,0,0,0,0,15,1,30
21,D:\Z - Saved SQL Databases\44OP-103884_ACC_Elgin\JobDB.mdf,26,209,0,0,0,209,0,0,0,31,1,31
22,D:\Z - Saved SQL Databases\44OP-147028_UT_GEO_Package_6\JobDB.mdf,9,49,0,0,49,0,0,0,0,3,1,17
23,D:\Z - Saved SQL Databases\44OP-165943_Cirrus_Logic_HQ_Ph_2\JobDB.mdf,16,61,0,2,46,13,0,0,0,21,1,25
24,D:\Z - Saved SQL Databases\44OP-166059_Baylor_Elliston_Chapel\JobDB.mdf,2,2,0,0,2,0,0,0,0,2,2,2
25,D:\Z - Saved SQL Databases\44OP-170006_TXSU_Jones_Dining_Hall_Reno_chase\JobDB.mdf,25,126,0,2,123,1,0,0,0,30,1,30
26,D:\Z - Saved SQL Databases\44OP-142255_TFC_NSOC\JobDB.mdf,7,30,0,0,29,1,0,0,0,13,3,16
27,D:\Z - Saved SQL Databases\44OP-151758_Baylor_Business_School\JobDB.mdf,67,1809,1552,6,215,36,0,0,0,5,1,74
28,D:\Z - Saved SQL Databases\44OP-156184_TFC_INS_PDB\JobDB.mdf,9,33,14,0,16,3,0,0,0,16,1,16
29,D:\Z - Saved SQL Databases\44OP-143748_UT_EERC\JobDB.mdf,39,60,0,0,60,0,0,0,0,4,1,48
30,D:\Z - Saved SQL Databases\44OP-156674_RRMC_NUC_CATH\JobDB.mdf,6,49,0,49,0,0,0,0,0,14,1,15
31,D:\Z - Saved SQL Databases\44OP-146488_TFC_DSHS_A600_Labs_Ph3\JobDB.mdf,16,34,5,0,1,28,0,0,0,25,1,25
32,D:\Z - Saved SQL Databases\44OP-140618_TAMU_CC_Dining_Hall\JobDB.mdf,2,31,15,0,16,0,0,0,0,10,1,10
33,D:\Z - Saved SQL Databases\44OP-154233_BU_Penland_Hall_Dining\JobDB.mdf,47,177,3,1,171,2,0,0,0,35,1,53
34,D:\Z - Saved SQL Databases\44OP-155245_BRIC_Region_12_ESC\JobDB.mdf,81,768,2,5,500,257,4,0,0,66,1,87
35,D:\Z - Saved SQL Databases\44OP-124719_TAMU_Library\JobDB.mdf,40,307,22,1,280,4,0,0,0,49,1,49
36,D:\Z - Saved SQL Databases\44OP-159998 Jamie\JobDB.mdf,47,433,70,5,285,73,0,0,0,49,1,53
37,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research\JobDB.mdf,31,159,0,0,159,0,0,0,0,32,1,37
38,D:\Z - Saved SQL Databases\44OP-171481_100_Congress_Civitas\JobDB.mdf,3,24,0,0,0,24,0,0,0,10,1,12
39,D:\Z - Saved SQL Databases\44OP-127929_Baylor_Planters_House\JobDB.mdf,1,9,0,0,9,0,0,0,0,0,0,0
40,D:\Z - Saved SQL Databases\44OP-168489_Baylor_Fast_Forward\JobDB.mdf,123,716,33,35,241,399,8,0,0,107,1,130
41,D:\Z - Saved SQL Databases\44OP-117216_UMHB_Stadium\JobDB.mdf,75,409,1,1,328,79,0,0,0,78,1,78
42,D:\Z - Saved SQL Databases\44OP-148606_BU_RANEY_SMITH\JobDB.mdf,15,50,0,0,11,39,0,0,0,20,1,23
43,D:\Z - Saved SQL Databases\44OP-170006_TXSU_Jones_Dining_Hall_Reno\JobDB.mdf,39,152,0,4,147,1,0,0,0,47,1,47
44,D:\Z - Saved SQL Databases\44OP-169562_Prudential_Overall_Supply\JobDB.mdf,1,307,307,0,0,0,0,0,0,8,1,8
45,D:\Z - Saved SQL Databases\44OP-158160_Baylor_Armstrong_Browning_AHU\JobDB.mdf,2,35,13,0,22,0,0,0,0,10,1,10
